name,gender,job,house,patronus,species,blood_status,loyalty,skills,birth,death,source,incantation,type,effect,characteristics,alias_names,titles,category,hand,light,difficulty,inventors,ingredients,side_effects,time,title
Mrs Parry,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Cave inimicum,,,,,,,,,,,master,Cave inimicum(CAH-vay uh-NIM-i-kuhm),,Concealment,,,,Charm,,None (haze),,,,,,
Mr et Mme Croque,"Female, Male",['Sous-chef'],,,,,,,,,master,,,,,[],[],,,,,,,,,
M. Ralphous,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
M. P. Nettum,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
M. P. N. Carnerius,,"['Astronomer', 'Author']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
M. P. Carneirus,,['Captain of Aurors'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Mountain troll in the Forest Grove,,[],,,Mountain troll,,,,,,master,,,,,[],[],,,,,,,,,
N. Amorinus,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Napier,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bouquet Spell,,,,,,,,,,,master,Orchideous(or-KID-ee-us),,Conjured flowers,,,,Conjuration,,Pink,,,,,,
Bird-Conjuring Charm,,,,,,,,,,,master,Avis(AH-viss),,Conjures birds,,,,"Charm, Conjuration",,Blue,,,,,,
Occamy in Hogsmeade's handler,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Banishing Charm,,,,,,,,,,,master,Depulso(de-PUHL-so),,Sent target away,,,,Charm,,"White, red or yellow",,,,,,
Nungesser,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Norwegian Ridgeback at the Magical Creatures Reserve,,[],,,Norwegian Ridgeback,,,,,,master,,,,,[],[],,,,,,,,,
N. Newzer,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
N. Lima,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Baubillious,,,,,,,,,,,master,Baubillious(baw-BILL-ee-us),,Jet of white sparks,,,,Charm,,White,,,,,,
Nigel Wolpert's owl,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
Blasting Curse,,,,,,,,,,,master,Confringo(con-FRING-go),,Explosion,,,,Curse,,Fiery orange,,,,,,
Nash,,['Artist'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Niffler in Hogsmeade,,[],,,Niffler,,,,,,master,,,,,[],[],,,,,,,,,
Niffler at the Magical Creatures Reserve,,[],,,Niffler,,,,,,master,,,,,[],[],,,,,,,,,
Newton Scamander's Wyvern,,[],,,Wyvern,,,,,,master,,,,,[],[],,,,,,,,,
Newton Scamander's Runespoor,,[],,,Runespoor,,,,,,master,,,,,[],[],,,,,,,,,
Newton Scamander's Nundu,,[],,,Nundu,,,,,,master,,,,,[],[],,,,,,,,,
Newton Scamander's Murtlap,,[],,,Murtlap,,,,,,master,,,,,[],[],,,,,,,,,
Nevin,,[],,,Newt,,,,,,master,,,,,[],[],,,,,,,,,
Needlefingers,,[],,,Bowtruckle,,,,,,master,,,,,[],[],,,,,,,,,
Pouch,,[],,,Niffler,,,,,,master,,,,,[],[],,,,,,,,,
Prancehoof,,[],,,Hippogriff,,,,,,master,,,,,[],[],,,,,,,,,
Pringle,,['Beater for the American National Quidditch team'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
S. Capper,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Snout,,[],,,Niffler,,,,,,master,,,,,[],[],,,,,,,,,
Smithey,,['Wizard poacher'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Skye Parkin's cousin,,['Quidditch player'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sirius Black's owl,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
Sirius Black's barn owl,,[],,,Barn owl,,,,,,master,,,,,[],[],,,,,,,,,
Y. Blishen,,['Magical Congress of the United States of America employee'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Silvanus Kettleburn's twelve Nifflers,,[],,,Nifflers,,,,,,master,,,,,[],[],,,,,,,,,
Silvanus Kettleburn's Fwooper,,[],,,Fwooper,,,,,,master,,,,,[],[],,,,,,,,,
Silvanus Kettleburn's Diricawls,,[],,,Diricawls,,,,,,master,,,,,[],[],,,,,,,,,
Silvanus Kettleburn's Augurey's mate,,[],,,Augurey,,,,,,master,,,,,[],[],,,,,,,,,
Silvanus Kettleburn's Augurey,,[],,,Augurey,,,,,,master,,,,,[],[],,,,,,,,,
Silas Crump's cat,,[],,,Black cat,,,,,,master,,,,,[],[],,,,,,,,,
Shrake at the Magical Creatures Reserve,,[],,,Shrake,,,,,,master,,,,,[],[],,,,,,,,,
Shikoba Wolfe,,['Wandmaker'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sebastian Sallow's owl,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
Sea serpent of Cromer,,[],,,Sea serpent,,,,,,master,,,,,[],[],,,,,,,,,
Sea serpent at the Magical Creatures Reserve,,[],,,Sea serpent,,,,,,master,,,,,['Kee-oo (A Mermish name given by an unidentified merkid)'],[],,,,,,,,,
Scragg,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
Scarpin,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Snowy,,[],,,Part-Kneazle cat,,,,,,master,,,,,[],[],,,,,,,,,
Spellman,,['Author'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sphinxes at Gringotts Wizarding Bank,,[],,,Sphinxes,,,,,,master,,,,,[],[],,,,,,,,,
Temeritus Shank's owl,,[],,,Snowy Owl,,,,,,master,,,,,[],[],,,,,,,,,
Tiffin,,[],,,Griffin,,,,,,master,,,,,[],[],,,,,,,,,
Thunderbird at the Magical Creatures Reserve,,[],,,Thunderbird,,,,,,master,,,,,[],[],,,,,,,,,
The White Wolf,,[],,,Wolf,,,,,,master,,,,,['The White Wolf'],[],,,,,,,,,
The Toad,,[],,,Animal ghost,,,,,,master,,,,,[],[],,,,,,,,,
Thestrals ridden by Dumbledore's Army,,[],,,Thestral,,,,,,master,,,,,[],[],,,,,,,,,
Thestral at the Magical Creatures Reserve,,[],,,Thestral,,,,,,master,,,,,[],[],,,,,,,,,
The Irondale Pilferer,,[],,,Niffler,,,,,,master,,,,,[],[],,,,,,,,,
The Grim,,[],,,Wolf,,,,,,master,,,,,['The Grim'],[],,,,,,,,,
Tamsin Hillicker,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Squeak,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
T,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sybill Trelawney's cat,,[],,,Cat,,,,,,master,,,,,[],[],,,,,,,,,
Swooping Evil at the Magical Creatures Reserve,,[],,,Swooping Evil,,,,,,master,,,,,[],[],,,,,,,,,
Sugarfoot,,[],,,Hippogriff,,,,,,master,,,,,[],[],,,,,,,,,
Stormswift,,[],,,Hippogriff,,,,,,master,,,,,[],[],,,,,,,,,
St Mungo's house-elf,,['Cleaner'],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Scarlet Sharp,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Savage,,['Auror'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Priya Sharma's snake,,[],,,Snake,,,,,,master,,,,,[],[],,,,,,,,,
Sameera Hanifus,,['Author'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ronald Weasley's frog,,[],,,Frog,,,,,,master,,,,,[],[],,,,,,,,,
Romanian vampire,,[],,,Vampire,,,,,,master,,,,,[],[],,,,,,,,,
Rogue gnome,,[],,,Gnome,,,,,,master,,,,,[],[],,,,,,,,,
ROCC Herbology expert,,['Herbologist'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rob Dowson,Male,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Riya Patel,,['Auror'],,,Human,,,,,,master,,,,,[],['Investigative Assistant'],,,,,,,,,
Rimney's master,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rimney,,[],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Riggin,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Retch,,['Hogwarts kitchens worker'],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Remus Lupin's Grindylow,,[],,,Grindylow,,,,,,master,,,,,[],[],,,,,,,,,
Ranrok's Hebridean Black,,[],,,Hebridean Black,,,,,,master,,,,,[],[],,,,,,,,,
Rampant Dugbog,,[],,,Dugbog (Stoneback Dugbog),,,,,,master,,,,,[],[],,,,,,,,,
R. Amorim,,['Security editor for the Daily Prophet'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ramora at the Magical Creatures Reserve,,[],,,Ramora,,,,,,master,,,,,[],[],,,,,,,,,
Proudfoot,,"['Professor at Hogwarts School of Witchcraft and Wizardry', 'Head of House at Hogwarts School of Witchcraft and Wizardry']",,,Human,,,,,,master,,,,,[],"['Professor', 'Head of House']",,,,,,,,,
Propella Propentus,,['Hex removal specialist'],,,Human,,,,,,master,,,,,[],['Professor'],,,,,,,,,
Rosmerta's cat,,[],,,Cat,,,,,,master,,,,,[],[],,,,,,,,,
Rosmerta's dog,,[],,,Dog,,,,,,master,,,,,[],[],,,,,,,,,
Roylance,,['Ashwinder'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Occamy,,[],,,Occamy,,,,,,master,,,,,[],[],,,,,,,,,
Sal Grimstone's Shrake shoal,,[],,,Shrakes,,,,,,master,,,,,[],[],,,,,,,,,
Salamander,,['Author'],,,Human,,,,,,master,,,,,[],['Doctor'],,,,,,,,,
S. A. Fitzgeraldey,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rufus J. Rotnick,Male,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Ruby Wiel,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Puffskeins,,[],,,Puffskein,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Porlock,,[],,,Porlock,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's owl,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Murtlap,,[],,,Murtlap,,,,,,master,,,,,[],[],,,,,,,,,
R. Palombus,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Flobberworms,,[],,,Flobberworms,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Fire Crab,,[],,,Fire Crab,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's fairies,,[],,,Fairies,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's dogs,,[],,,Dogs (pugs),,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Diricawls,,[],,,Diricawls,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Crups,,[],,,Crups,,,,,,master,,,,,[],[],,,,,,,,,
Rubeus Hagrid's Ashwinder,,[],,,Ashwinder,,,,,,master,,,,,[],[],,,,,,,,,
R's second messenger,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Morfin Gaunt's second snake,,[],,,Adder,,,,,,master,,,,,"[""'Little snakey'""]",[],,,,,,,,,
W. Pouffe,,['House-elf demonstrator'],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Disintegration spell,,,,,,,,,,,master,,,Blew up and disintegrated the target,,,,Dark charm,Point wand at target,Red,,,,,,
J. Dorny,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ebublio Jinx,,,,,,,,,,,master,Ebublio(ee-BUB-leo),,Traps target in giant bubble,,,,Jinx,,Blue,,,,,,
Jason Caffoe,Male,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
J. Blishen,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Engorgement Charm,,,,,,,,,,,master,Engorgio (en-GOR-gee-oh),,Caused swelling,,,,Charm,,Icy blue,,,,,,
Madge Farley,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Mackled Malaclaw at the Magical Creatures Reserve,,[],,,Mackled Malaclaw,,,,,,master,,,,,[],[],,,,,,,,,
J. Delmagicus,,['Journalist for the New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
L. Wakefield,,"['Numerologist', 'Author']",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Loen and Leana's children,,[],,,Humans,,,,,,master,,,,,[],[],,,,,,,,,
Jennifer Winston,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
J. E. Prewitt,,[],,,Human,,,,,,master,,,,,[],['Seeker'],,,,,,,,,
Lucius Malfoy's dogs,,[],,,Either Long-Haired Lurcher or Irish Wolfhound,,,,,,master,,,,,[],[],,,,,,,,,
Erecto,,,,,,,,,,,master,Erecto(uh-REK-toh),,Erects a structure,,,,Charm,Point wand at target,,,,,,,
Lou Ferme,,['Auror'],,,Human,,,,,,master,,,,,['Badge No. 58063'],['Auror'],,,,,,,,,
Lottie Fernsby,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
L. O'Sullivan,,['Magical Congress of the United States of America employee'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Mafalda Hopkirk's Ministerial Superior,,['Improper Use of Magic Office employee'],,,Human,,,,,,master,,,,,[],['Ministry of Magic Official'],,,,,,,,,
Magical minister,,['Magical minister'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Jarrett,,[],,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
M. Amerinus,,['Reporter for the Daily Prophet'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Matagot who befriended Mrs Norris,,[],,,Matagot,,,,,,master,,,,,[],[],,,,,,,,,
Matagot at the Magical Creatures Reserve,,[],,,Matagot,,,,,,master,,,,,[],[],,,,,,,,,
Disarming Charm,,,,,,,,,,,master,Expelliarmus(ex-PEL-lee-ar-muss),,Disarms an opponent,,,,Charm,,Scarlet,,,,,,
Jake Farley,Male,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Marthe Écolière,Female,['Runologist'],,,,,,,,,master,,,,,[],[],,,,,,,,,
Martha Steward (II)'s friend,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Disenchantment Charm,,,,,,,,,,,master,Surgito(SUR-jee-toh),,Removed enchantments,,,,"Charm, Counter-charm",,White,,,,,,
James Potter II's friends,,[],,,Humans,,,,,,master,,,,,[],[],,,,,,,,,
Dividing Charm,,,,,,,,,,,master,Partis Temporus(PAR-tus tem-POR-us),,Parted the target,,,,Charm,Point wand at target,,,,,,,
Manticore at the Magical Creatures Reserve,,[],,,Manticore,,,,,,master,,,,,[],[],,,,,,,,,
Manfred,Male,['Wizard poacher'],,,,,,,,,master,,,,,[],[],,,,,,,,,
James Potter (II)'s owl,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
Hair Loss Curse,,,,,,,,,,,master,Calvorio(cal-VOR-ee-oh),,Removed victim's hair,,,,Curse,,Red or purple,,,,,,
Ja'Quelynda Lamond,,['Fashion designer'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Doubling Charm,,,,,,,,,,,master,For the Charm: Geminio(juh-MIN-ee-oh)For the Curse: Gemino(juh-MIN-oh),,Duplicated an object,,,,"Charm, Curse",Flick wand at target,,,,,,,
Mooncalf in Oculus Regulus Opticiens,,[],,,Mooncalf,,,,,,master,,,,,[],[],,,,,,,,,
Loch Ness Monster,,[],,,Kelpie,,,,,,master,,,,,['Nessie'],[],,,,,,,,,
Matey,,[],,,Goat,,,,,,master,,,,,[],[],,,,,,,,,
Full Body-Bind Curse,,,,,,,,,,,master,Petrificus Totalus (pe-TRI-fi-cus to-TAH-lus),,Temporary paralysis,,,,Curse,,"White, purple, yellow or none",,,,,,
Khanna family house-elf,,[],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
Freezing Charm,,,,,,,,,,,master,Immobulus(ih-MOH-byoo-luhs),,Stopped movement and actions of the target,,,,Charm,,Blue,,,,,,
Kelpie in the Hippogriff Clubhouse,,[],,,Kelpie,,,,,,master,,,,,[],[],,,,,,,,,
Kelpie at the Magical Creatures Reserve,,[],,,Kelpie,,,,,,master,,,,,[],[],,,,,,,,,
Freezing Spell,,,,,,,,,,,master,Glacius(GLAY-see-us),,Froze target,,,,Charm,,Blue,,,,,,
J. P. DuBois,,['Chestnut merchant'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
K. Bundy,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Karl Wang,,['Keeper for the Norwegian National Quidditch team'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Fiendfyre,,,,,,,,,,,master,Pestis Incendium (PESS-tis in-SEN-dee-um),,Unleashed cursed fire,,,,Curse,,Fire,,,,,,
General Counter-Spell,,,,,,,,,,,master,"Finite(fi-NEE-tay), Finite Incantatem'(fi-NEE-tay in-can-TAH-tem)",,Terminates all spell effects,,,,Counter-spell,,Red or fire,,,,,,
Kahler,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
J. W Rebondir,,['Sign maker'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
J. Wardis,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
J. Ward,,['Magical Congress of the United States of America employee'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Glacius Tria,,,,,,,,,,,master,Glacius Tria(GLAY-see-us TREE-ah),,Freezes target enemy,,,,Charm,,Blue,,,,,,
J. Tardy,Female,['Headmistress'],,,,,,,,,master,,,,,[],"['Headmistress', 'Madame']",,,,,,,,,
Kielbasa,,[],,,Niffler,,,,,,master,,,,,[],[],,,,,,,,,
Kikis Trecus,,['Reporter for the Daily Prophet'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
King Midas,,['King'],,,Human,,,,,,master,,,,,[],['King'],,,,,,,,,
Four-Point Spell,,,,,,,,,,,master,Point Me,,Wand pointed due north,,,,Charm,Hold wand flat in hand,,,,,,,
Leucrotta at the Magical Creatures Reserve,,[],,,Leucrotta,,,,,,master,,,,,[],[],,,,,,,,,
Fire-Making Spell,,,,,,,,,,,master,Incendio(in-SEN-dee-o),,Conjured flames,,,,Charm,,Orange/red,,,,,,
Firestorm,,,,,,,,,,,master,,,Ring of fire,,,,Charm,Overhead circles,Crimson and gold,,,,,,
Joe Laurie,Male,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Lee Jordan's tarantula,,[],,,Tarantula,,,,,,master,,,,,[],[],,,,,,,,,
Flintifors,,,,,,,,,,,master,Flintifors(FLINT-i-fors),,Turned target into matchboxes,,,,Transfiguration,Hold wand to the left,,,,,,,
Leaky Cauldron Doxy swarm,,[],,,Doxies,,,,,,master,,,,,[],[],,,,,,,,,
Flipendo Maxima,,,,,,,,,,,master,Flipendo Maxima,,Knocks the target back with greater force than the Knockback Jinx,,,,Jinx,,White,,,,,,
Laurenzoo,,['Author'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Josephine Kay,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Lara Blishen,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
K. Triendl,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Krafty,,['Hogwarts kitchens worker'],,,House-elf,,,,,,master,,,,,[],[],,,,,,,,,
K. Machadus,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Fogging Spell,,,,,,,,,,,master,Nebulus(NEB-yoo-lus),,Conjured fog,,,,Charm,,Grey,,,,,,
Matelot,,['Actor'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
J. Smithillous,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Mathilda Grimblehawk's partner,,['Investigator for the Ministry of Magic Beast Division'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Diminuendo,,,,,,,,,,,master,Diminuendo(dim-IN-you-end-oh),,Shrunk objects and humans,,,,Charm,,White or yellow,,,,,,
Dangling Jinx,,,,,,,,,,,master,Levicorpus(leh-vee-COR-pus),,Suspends people by the ankles in the air,,,,Jinx,,Green,,,,,,
Merula Snyde's mother's unicorn,,[],,,Unicorn,,,,,,master,,,,,[],[],,,,,,,,,
Ministry Visitor No. 09786,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
M. Foremandium,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Dancing Feet Spell,,,,,,,,,,,master,Tarantallegra(ta-RON-ta-LEG-gra),,Sent legs out of control,,,,Charm,,Red or purple,,,,,,
Jacob's American relatives,,[],,,Humans,,,,,,master,,,,,[],[],,,,,,,,,
M. L. Clarké,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Midwife,,['Midwife'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Jacob's sibling's rat,,[],,,Rat,,,,,,master,,,,,[],[],,,,,,,,,
Jacob's sibling's Puffskein,,[],,,Puffskein,,,,,,master,,,,,[],[],,,,,,,,,
Mildred's niece or nephew,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Curse of the Bogies,,,,,,,,,,,master,Mucus ad Nauseam(MYOO-kus ahd NAW-zee-um),,Nasty cold and an extremely runny nose,,,,Curse,,Green,,,,,,
Jacob's sibling's owl,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
Jacob's sibling's toad,,[],,,Toad,,,,,,master,,,,,[],[],,,,,,,,,
Jacob's family Puffskein,,[],,,Puffskein,,,,,,master,,,,,[],[],,,,,,,,,
Millicent Bulstrode's cat,,[],,,Cat,,,,,,master,,,,,[],[],,,,,,,,,
Miranda Goshawk's cousins,,[],,,Humans,,,,,,master,,,,,[],[],,,,,,,,,
Jacob's sibling's Jackalope,,[],,,Jackalope,,,,,,master,,,,,[],[],,,,,,,,,
Mimi Erland,Female,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Minas,,"[""'Top Ministry job' in Cyprus""]",,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Crinus Muto,,,,,,,,,,,master,Crinus Muto(CREE-nus MYOO-toh),,Transformed hair,,,,Transfiguration,,White,,,,,,
Ministry Official No. 25052018,,['British Ministry of Magic official'],,,Human,,,,,,master,,,,,[],['British Ministry of Magic Official'],,,,,,,,,
Ministry Official No. 39423,,['British Ministry of Magic official'],,,Human,,,,,,master,,,,,[],['British Ministry of Magic Official'],,,,,,,,,
Jacob's sibling's cat,,[],,,Cat,,,,,,master,,,,,[],[],,,,,,,,,
Jacob's sibling's Cruppy,,[],,,Crup,,,,,,master,,,,,[],[],,,,,,,,,
Ministry Visitor No. 09602,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ministry Visitor No. 09603,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Densaugeo,,,,,,,,,,,master,Densaugeo(den-SAU-jee-oh),,Elongates teeth,,,,Hex,,Violet,,,,,,
M. L. Minus,,['Auror Commissioner'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
M. Carneirus,,['Business and finance reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Mooncalf at the Magical Creatures Reserve,,[],,,Mooncalf,,,,,,master,,,,,[],[],,,,,,,,,
Confundus Charm,,,,,,,,,,,master,Confundo(con-FUN-doe),,Confused the target,,,,Charm,,Pink,,,,,,
Molière,,['Dentist'],,,Human,,,,,,master,,,,,[],['Doctor'],,,,,,,,,
Modesty Rabnott's Hippogriff,,[],,,Hippogriff,,,,,,master,,,,,[],[],,,,,,,,,
Ivy Warrington's fairy,,[],,,Fairy,,,,,,master,,,,,[],[],,,,,,,,,
J. A. Kealon,,['Banker'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
M. L. Miraphorum,,['Reporter for the No-Maj Bureau of The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Monstrous Leaky Cauldron guest,,[],,,Human or non-human creature,,,,,,master,,,,,[],[],,,,,,,,,
McGonagall family cat,,[],,,Cat,,,,,,master,,,,,[],[],,,,,,,,,
Harmonia Nectere Passus,,,,,,,,,,,master,Harmonia Nectere Passus(har-MOH-nee-ah nec-TEH-ray PAS-sus),,Repairing Vanishing Cabinets,,,,Charm,Point wand at target,,,,,,,
McKague,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
M. Crenshaw Jnr,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Medusa,,['Advice columnist for the Daily Prophet (possibly)'],,,Human,,,,,,master,,,,,[],['Doctor'],,,,,,,,,
Descending Charm,,,,,,,,,,,master,Descendo(deh-SEHN-doh),,Lowered target,,,,Charm,,Blue,,,,,,
M. Emmanuelli,,['Landlord'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Matilda Weasley's predecessor,,['Professor of Transfiguration or Deputy Headteacher at Hogwarts School of Witchcraft and Wizardry'],,,Human,,,,,,master,,,,,[],['Professor'],,,,,,,,,
M. Miraphorumus,,['Reporter for The New York Ghost'],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Matilda Weasley's owl,,[],,,Owl,,,,,,master,,,,,[],[],,,,,,,,,
M. Mina,,[],,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Jacob Erland,Male,[],,,,,,,,,master,,,,,[],[],,,,,,,,,
Deprimo Spell,,,,,,,,,,,master,Deprimo(deh-PREEM-oh),,Blasts holes in ground,,,,Charm,,Green or none,,,,,,
Mauler,,[],,,Kneazle,,,,,,master,,,,,[],[],,,,,,,,,
Cheese-Based Potions,,,,,,,,,,,master,,,,Yellow in colour,,,,,,Advanced,,Cheese,,,
Inanimatus Conjurus Spell,,,,,,,,,,,master,Inanimatus Conjurus,,Alters the design of a room,,,,Conjuration,,,,,,,,
Incarcerous Spell,,,,,,,,,,,master,Incarcerous(in-KAR-ser-us),,Bound target in ropes,,,,Conjuration,,,,,,,,
Weedosoros,,,,,,,,,,,master,,,Highly poisonous,Deep purple in colour,,,,,,Moderate,,,,,
Greenhouse Charm,,,,,,,,,,,master,Celescere,,Helped grow plant-based potion ingredients,,,,Charm,,,,,,,,
Ten-Second Pimple Vanisher,,,,,,,,,,,master,,,"Treats boils, pimples, blackheads and acne",Pink in colour,,,,,,,Fred and George Weasley,,,,
Impervius Charm,,,,,,,,,,,master,Impervius(im-PUR-vee-us),,Waterproofed an object,,,,Charm,,,,,,,,
Tolipan Blemish Blitzer,,,,,,,,,,,master,,,Treated acne,"White in colour, Thick paste consistency",,,,,,,,Dragon claw,,,
Contortion Potion,,,,,,,,,,,master,,,Induced contortion,,,,,,,,"William Weasley (possibly), Jacob's sibling (possibly)",Spine of Lionfish,,,
Hour-Reversal Charm,,,,,,,,,,,master,,,Reversal of time,,,,Charm,,Blue,,,,,,
Confusing Concoction,,,,,,,,,,,master,,,Confusion,,,,,,,Moderate to advanced,,"Scurvy grass, Lovage, Sneezewort",,,
Horn Tongue Hex,,,,,,,,,,,master,,,Transformed target's tongue into a horn,,,,Hex,,Yellow,,,,,,
Homorphus Charm,,,,,,,,,,,master,,,"Temporarily change a transformed werewolf back into their human form (according to Gilderoy Lockhart, it cured lycanthropy if cast perfectly).",,,,Charm,,Yellow,,,,,,
Death-Cap Draught,,,,,,,,,,,master,,,Poisonous,Red in colour,,,,,,,,Death-Cap,,,
