name,gender,job,house,wand,patronus,species,blood_status,hair_colour,eye_colour,loyalty,skills,birth,death,known_ingredients,effect,characteristics,difficulty_level,incantation,type,light,slug,alias_names,animagus,boggart,born,died,eye_color,family_members,hair_color,height,jobs,marital_status,nationality,romances,skin_color,titles,wands,weight,category,creator,hand,difficulty,inventors,ingredients,manufacturers,side_effects,time
Unidentified Mould-on-the-Wold boys,Males,,,,,Humans,Muggles,,,,,,,,,,,,,,unidentified-mould-on-the-wold-boys,[],,,19th century,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified Muggle,Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-female-muggle-i,[],,,,,,[],,,[],,Scottish,[],,[],[],,,,,,,,,,
Unidentified Muggle boy,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-woman-iii-s-son,[],,,Prior to 1995,,,['Mother'],Brown,,[],,British,[],Light,[],[],,,,,,,,,,
Unidentified Muggle child in the zoo‎,Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-child-in-the-zoo,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified Muggle driver,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-driver,[],,,,,,[],Black,,['Taxi Driver'],,British,[],White,[],[],,,,,,,,,,
Unidentified Muggle lord,,,,,,Human,,,,,,,,,,,,,,,unidentified-muggle-lord,[],,,c. 15th century,,Unknown,[],Unknown,,[],,English,[],White (most likely),['Lord'],[],,,,,,,,,,
Unidentified Muggle man,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-irritated-muggle-man,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified Muggle man,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-man,[],,,,,Blue,[],Grey,,[],,British,[],Light,[],[],,,,,,,,,,
Unidentified Muggle man,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-man-looking-at-rubeus-hagrid-in-1991,[],,,,,,['Wife'],Black,,[],Married,,[],Light,[],[],,,,,,,,,,
Unidentified Muggle man with newspaper,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-man-with-newspaper,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified Muggle physicist,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-physicist,[],,,,,,[],,,['Physicist'],,,[],,[],[],,,,,,,,,,
Unidentified Muggle shepherd,,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-shepherd,[],,,,,,[],,,['Shepherd'],,British,[],,[],[],,,,,,,,,,
Unidentified Muggle witness,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-witness,[],,,Before 1990,,Brown,[],Brown,,[],,,[],Brown,[],[],,,,,,,,,,
Unidentified Muggle woman,Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-woman-iii,[],,,Prior to 1995,,,['Son'],Brown,,[],,British,[],Light,[],[],,,,,,,,,,
Unidentified Muggle woman,Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-woman-looking-at-rubeus-hagrid-in-1991,[],,,,,,['Husband'],Blonde,,[],Married,,[],Light,[],[],,,,,,,,,,
Unidentified Muggle woman,Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-woman-i,[],,,,,,[],White,,[],,British,[],Pale,[],[],,,,,,,,,,
Unidentified Muggle woman about the train to Kettering,Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-woman-about-the-train-to-kettering,[],,,,,Blue,[],Brown,,[],,British,[],Light,[],[],,,,,,,,,,
Unidentified Muggle woman (II),Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-woman-ii,[],,,,,,[],,,[],,British,[],,[],[],,,,,,,,,,
Unidentified Muggle woman on Chertsey train,Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-woman-on-chertsey-train,[],,,,,Blue,[],Blonde,,[],,,[],Light,[],[],,,,,,,,,,
Unidentified Muggle-Worthy Excuse Committee clerk,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-muggle-worthy-excuse-committee-clerk,[],,,Before 1973 (most likely),,Brown,[],Brown,,['Muggle-Worthy Excuse Committee employee'],,British or Irish,[],Dark,[],[],,,,,,,,,,
Unidentified Narragansett children,Females,,,,,Humans,,,,,,,,,,,,,,,unidentified-narragansett-children,[],,,17th century,,,['Mother'],,,[],,Native American,[],,[],"['Unknown lengths, woods and cores']",,,,,,,,,,
Unidentified Narragansett mother,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-narragansett-mother,[],,,17th century,,,['Two daughters'],,,[],,Native American,[],,[],"['Unknown length, wood and core']",,,,,,,,,,
Unidentified Native American Animagus,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-native-american-animagus,[],Bald eagle,,17th century,,,[],,,[],,Native American,[],,[],[],,,,,,,,,,
Unidentified nearby wizard,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-nearby-wizard,[],,,,,,[],,,[],,American,[],Light,[],[],,,,,,,,,,
Unidentified newspaper boy,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,unidentified-newspaper-boy,[],,,,,,[],,,['Newspaper vendor'],,American,[],,[],[],,,,,,,,,,
Unidentified nine-year-old,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-nine-year-old,[],,,c. 1988,,,['Grandparents'],,,[],,,[],,[],[],,,,,,,,,,
Unidentified nine-year-old's grandparents,"Male, Female",,,,,Humans,,,,,,,,,,,,,,,unidentified-nine-year-old-s-grandparents,[],,,,,,['Grandson'],,,[],,,[],,[],[],,,,,,,,,,
Unidentified Non-Magique father,Male,,,,,Human,Non-Magique,,,,,,,,,,,,,,unidentified-non-magique-father,[],,,,"August, 1927, Paris, France",,"['Wife †', 'Son †']",,,[],Married,French,['Wife †'],,[],[],,,,,,,,,,
Unidentified Non-Magique mother,Female,,,,,Human,Non-Magique,,,,,,,,,,,,,,unidentified-non-magique-mother,[],,,,"August 1927, Paris, France",,"['Husband †', 'Son †']",,,[],Married,French,['Husband †'],,[],[],,,,,,,,,,
Unidentified Non-Magique Toddler,Male,,,,,Human,Non-Magique,,,,,,,,,,,,,,unidentified-non-magique-toddler,[],,,Between August 1924 and August 1926,"August 1927, Paris, France",,"['Father †', 'Mother †']",,,[],,French,[],,[],[],,,,,,,,,,
Unidentified Norwegian Ridgeback,,,,,,Norwegian Ridgeback,,,,,,,,,,,,,,,unidentified-norwegian-ridgeback,[],,,1802 or earlier,,,[],,,[],,,[],Black,[],[],,,,,,,,,,
Unidentified nose-picking wizard,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-nose-picking-wizard,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified NYPD Police Officer,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,nypd-police-officer-no-743,[],,,1905 or earlier,,,[],,,['Policeman'],,America,[],,[],[],,,,,,,,,,
Unidentified old woman,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-old-woman-during-the-battle-of-hogwarts,[],,,,,,[],Grey,,[],,,[],Light,[],[],,,,,,,,,,
Unidentified old woman doing her shopping,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-old-woman-doing-her-shopping,[],,,Pre 1990,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified orphan,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-orphan,[],,,1920s (most likely),,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified Ottery St Catchpole innkeeper,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-ottery-st-catchpole-innkeeper,[],,,In or before the 21st century,,,[],,,[],,British,[],,[],[],,,,,,,,,,
Unidentified pamphlet maker witch,Female,,,,,Human,Pure-blood or Half-blood,,,,,,,,,,,,,,unidentified-pamphlet-maker-witch,[],,,,,,[],,,['British Ministry of Magic employee'],,British,[],,[],[],,,,,,,,,,
Unidentified pet-owner,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-pet-owner-in-knockturn-alley,[],,,,,,[],Dark,,[],,,[],Light,[],[],,,,,,,,,,
Unidentified Petrified boy,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-petrified-boy-i,[],,,Between 1 September 1971 and 31 August 1978,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Petrified boy (II),Male,,,,,Human,,,,,,,,,,,,,,,unidentified-petrified-boy-ii,[],,,Between 1 September 1971 and 31 August 1978,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Petrified girl (I),Female,,,,,Human,,,,,,,,,,,,,,,unidentified-petrified-girl-i,[],,,Between 1 September 1971 and 31 August 1978,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Petrified girl (II),Female,,,,,Human,,,,,,,,,,,,,,,unidentified-petrified-girl-ii,[],,,Between 1 September 1971 and 31 August 1978 (most likely),,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Petrified Gryffindor girl,Female,,Gryffindor,,,Human,,,,,,,,,,,,,,,unidentified-petrified-gryffindor-girl,[],,,Between 1 September 1975 and 31 August 1976,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified photographer,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,unidentified-photographer-i,[],,,,,,[],,,['Photographer'],,American,[],,[],[],,,,,,,,,,
Unidentified photographer (II),Male,,,,,Human,No-Maj,,,,,,,,,,,,,,unidentified-photographer-ii,[],,,,,,['Martha (wife or girlfriend)'],,,['Photographer'],,American,[],,[],[],,,,,,,,,,
Unidentified pioneer in Dragon Taming,,,,,,Human,,,,,,,,,,,,,,,unidentified-pioneer-in-dragon-taming,[],,,,Before 2 September 1890,,[],,,"['Dragonologist', 'Dragon Tamer']",,,[],,[],[],,,,,,,,,,
Unidentified plump little witch examiner,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-plump-little-witch-examiner,[],,,,,,[],,'Little',['Examiner for the Wizarding Examinations Authority'],,British,[],,[],[],,,,,,,,,,
Unidentified police officer (I),Male,,,,,Human,No-Maj,,,,,,,,,,,,,,unidentified-police-officer-i,[],,,1905 or earlier,,,[],,,['Policeman'],,American,[],,[],[],,,,,,,,,,
Unidentified police officer (II),Male,,,,,Human,No-Maj,,,,,,,,,,,,,,unidentified-police-officer-ii,[],,,1905 or earlier,,,[],,,['Policeman'],,American,[],,[],[],,,,,,,,,,
Unidentified poor boy,Male,,,,,Human,No-Maj,,,,,,,,,,,,,,unidentified-poor-boy,[],,,Pre 1926,,,[],,,[],,American,[],,[],[],,,,,,,,,,
Unidentified Portkey tout,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-portkey-tout,[],,,,,,[],,,['Portkey tout'],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified portrait,Male,,,,,Human,Pure-blood (possibly),,,,,,,,,,,,,,unidentified-portrait-in-malfoy-manor-ii,[],,,,Before 1997 (possibly),,['Malfoy family (possibly)'],,,[],,,[],,[],[],,,,,,,,,,
Unidentified portrait,Female,,,,,Human,Pure-blood (possibly),,,,,,,,,,,,,,unidentified-portrait-in-malfoy-manor-i,[],,,,Before 1997 (possibly),,['Malfoy family (possibly)'],,,[],,,[],,[],[],,,,,,,,,,
Unidentified portrait in Malfoy Manor (III),Male,,,,,Human,Pure-blood (likely),,,,,,,,,,,,,,unidentified-portrait-in-malfoy-manor-iii,[],,,,Before 1997,Blue,['Malfoy family'],Brown,,[],,,[],Light,[],[],,,,,,,,,,
Unidentified portrait in Malfoy Manor (IV),Female,,,,,Human,Pure-blood (likely),,,,,,,,,,,,,,unidentified-portrait-in-malfoy-manor-iv,[],,,,Before 1997,Dark,[],Brown,,[],,,[],Pale,[],[],,,,,,,,,,
Unidentified portrait in Malfoy Manor (V),Female,,,,,Human,Pure-blood (likely),,,,,,,,,,,,,,unidentified-portrait-in-malfoy-manor-v,[],,,Before 1997,,Green,['Malfoy family'],Black,,[],,,[],Pale,[],[],,,,,,,,,,
Unidentified portrait in the Hog's Head Inn,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-portrait-in-the-hog-s-head-inn,[],,,,,,[],Grey,,[],,,[],Light,[],[],,,,,,,,,,
Unidentified Potions teacher,,,,,,Human,,,,,,,,,,,,,,,unidentified-potions-teacher,[],,,Before 1945,,,[],,,['Professor at Hogwarts School of Witchcraft and Wizardry'],,British or Irish,[],,['Professor'],[],,,,,,,,,,
Unidentified Prefect,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-prefect,[],,,Between 1 September 1973 and 31 August 1975 (most likely),,,[],Copper,,[],,British or Irish,[],Light,['Prefect'],[],,,,,,,,,,
Unidentified princess,Female,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-princess,[],,,Middle Ages,Middle Ages,,['Father'],,,[],,,['Young wizard (possibly)'],,[],[],,,,,,,,,,
Unidentified Professor,,,,,,Human,,,,,,,,,,,,,,,amycus-carrow-s-successor,[],,,,,,[],,,['Professor of Defence Against the Dark Arts (1998–?)'],,,[],,['Professor'],[],,,,,,,,,,
Unidentified pub owner in Sao Paulo,Male,,,,,Human (werewolf),,,,,,,,,,,,,,,unidentified-pub-owner-in-sao-paulo,[],,,In or before the 21st century,,,[],,,['Pub landlord'],,Brazilian,[],,[],[],,,,,,,,,,
Unidentified Puking Pastilles Victim,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-puking-pastilles-victim,[],,,,,,[],Brown,,[],,British,[],White,[],[],,,,,,,,,,
Unidentified Qilin mother,Female,,,,,Qilin,,,,,,,,,,,,,,,unidentified-qilin-mother,[],,,Before 1932,"Winter of 1932, Tianzi Mountains, Kweilin, China",,"['Daughter (I) †', 'Daughter (II)']",,,[],,,[],Brown,[],[],,,,,,,,,,
Unidentified Quidditch Captain,Male,,Hufflepuff or Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-quidditch-captain-i,[],,,Between 1 September 1970 and 31 August 1974 (most likely),,Grey,[],Brown,,[],,British or Irish,[],Light,"['Chaser', 'Quidditch Captain']",[],,,,,,,,,,
Unidentified Quidditch Captain,Female,,Gryffindor or Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-quidditch-captain-ii,[],,,Between 1 September 1969 and 31 August 1974 (most likely),,Grey,[],Brown,,[],,British or Irish,[],Tan,"['Beater', 'Quidditch Captain']",[],,,,,,,,,,
Unidentified Quidditch player,,,,,Rabbit or hare,Human,,,,,,,,,,,,,,,unidentified-quidditch-player,[],,,,,,[],,,[],,,[],,[],"['Unknown length, wood, and core']",,,,,,,,,,
Unidentified Quidditch referee,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-quidditch-referee,[],,,,After 1357,,[],,,['Quidditch referee'],,,[],,['Referee'],[],,,,,,,,,,
Unidentified radio host,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-muggle-radio-host,[],,,,,,[],,,['Radio host'],,,[],,[],[],,,,,,,,,,
Unidentified radio presenter,,,,,,Human,,,,,,,,,,,,,,,unidentified-radio-presenter,[],,,,,,[],,,['Wireless broadcaster'],,,[],,[],[],,,,,,,,,,
Unidentified raven chick,Male,,,,,Raven,,,,,,,,,,,,,,,unidentified-raven-chick,[],,,1910 or earlier,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified Ravenclaw boy,Male,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-boy-iv,[],,,31 August 1980 or earlier,,,[],Blond,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified Ravenclaw boy,Male,,Ravenclaw,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,ravenclaw-boy-who-prodded-alecto-carrow,[],,,Between 1 September 1985 and 31 August 1986,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Ravenclaw bully,Female,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-bully,[],,,Between 1 September 1874 and 31 August 1875,,Brown,[],Brown,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified Ravenclaw fourth-years,,,Ravenclaw,,,Humans,,,,,,,,,,,,,,,unidentified-ravenclaw-fourth-years,[],,,,,,[],,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Ravenclaw Girl,Female,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-girl-during-the-battle-of-hogwarts,[],,,On or before 2 May 1981 (most likely),,,[],Black,,[],,British or Irish,[],Brown,[],"['Unknown length, wood and core']",,,,,,,,,,
Unidentified Ravenclaw girl in 1932,Female,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-girl-in-1932,[],,,Between 1 September 1914 and 31 August 1921,,,[],Red,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Ravenclaw lady,Female,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-lady,[],,,,Prior to 1991,,[],Brown,,[],,British or Irish,[],White,[],[],,,,,,,,,,
Unidentified Ravenclaw Prefect (I),Male,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-prefect-i,[],,,Between 1 September 1973 and 31 August 1976,,,[],Brown,,[],,British or Irish,[],Light,['Prefect'],[],,,,,,,,,,
Unidentified Ravenclaw Prefect (II),Male,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-prefect-ii,[],,,Between 1 September 1969 and 31 August 1974,,,[],,,[],,British or Irish,[],,['Prefect'],[],,,,,,,,,,
Unidentified Ravenclaw Seeker,Male,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-seeker,[],,,31 August 1979 or earlier,,Brown,[],Brown,,[],,British or Irish,[],Dark,['Seeker'],[],,,,,,,,,,
Unidentified Ravenclaw Seeker's substitute,Male,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-seeker-s-substitute,[],,,31 August 1979 or earlier,,,[],Brown,,[],,British or Irish,[],Light,['Seeker (substitute)'],[],,,,,,,,,,
Unidentified Ravenclaw student,Female,,Ravenclaw,,,Human,,,,,,,,,,,,,,,unidentified-ravenclaw-student-asked-to-the-yule-ball-by-a-durmstrang-student,[],,,Between 1 September 1977 and 31 August 1983 (most likely),,,[],Red,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified red-haired witch,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-red-haired-witch,[],,,,Prior to 1993,,[],Red,,[],,,[],White,[],[],,,,,,,,,,
Unidentified registered Animagus,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-registered-animagus,[],Black cat,,,,,[],White,,[],,British,[],White,[],"['Unknown length, wood and core']",,,,,,,,,,
Unidentified reporter,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-reporter,[],,,,,,[],,,['Reporter'],,American,[],,[],[],,,,,,,,,,
Unidentified resting Headmaster,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-resting-headmaster,[],,,,Prior to 1992,,[],Grey,,['Headmaster of Hogwarts School of Witchcraft and Wizardry'],,British or Irish,[],White,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified rich Muggle,Male,,,,,Human,Muggle,,,,,,,,,,,,,,unidentified-rich-muggle,[],,,In or before the 21st century,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified second-year witch,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-second-year-witch,[],,,Between 1 September 1995 and 31 August 1996,,Green,[],Blonde,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified secretary,Female,,,,,Human,No-Maj,,,,,,,,,,,,,,gilbert-bingley-s-secretary,[],,,,,,[],,,['Secretary at Steen National Bank'],,American,[],,[],[],,,,,,,,,,
Unidentified Seeker,Male,,Ravenclaw or Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-seeker-ii,[],,,Between 1 September 1969 and 31 August 1973 (most likely),,Brown,[],Brown,,[],,British or Irish,[],Dark,['Seeker'],[],,,,,,,,,,
Unidentified Seeker,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-seeker-i,[],,,Between 1 September 1969 and 31 August 1973,,Brown,"['Mother', 'Father']",Black,,[],,British or Irish,[],Dark,['Seeker'],[],,,,,,,,,,
Unidentified singer,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-singer,[],,,In or before the 21st century,,,[],,,['Singer'],,,[],,[],[],,,,,,,,,,
Unidentified Siren,Female,,,,,Siren,,,,,,,,,,,,,,,unidentified-siren,[],,,,,,[],,,[],,,[],,[],[],,,,,,,,,,
Unidentified sleeping Headmaster in blue,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmaster-in-blue,[],,,,Before 1943,,[],Grey,,['Headmaster of Hogwarts School of Witchcraft and Wizardry'],,British,[],Light,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified Sleeping Headmaster in Gold,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmaster-in-gold,[],,,,Prior to 1991,,[],,,['Headmaster of Hogwarts School of Witchcraft and Wizardry'],,British,[],Dark,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified sleeping Headmaster with apple,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmaster-with-apple,[],,,,Before 1943,,[],White,,['Headmaster of Hogwarts School of Witchcraft and Wizardry'],,British,[],Light,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified sleeping Headmaster with astrolabe,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmaster-with-astrolabe,[],,,,Before 1986,,[],White,,['Headmaster of Hogwarts School of Witchcraft and Wizardry'],,,[],Light,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified sleeping Headmaster with book,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmaster-with-book,[],,,,Before 1943,,[],,,['Headmaster of Hogwarts School of Witchcraft and Wizardry'],,British,[],Light,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified sleeping Headmaster with castle sketch,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmaster-with-castle-sketch,[],,,,Before 1943,,[],Grey,,['Headmaster of Hogwarts School of Witchcraft and Wizardry'],,British,[],Light,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified sleeping Headmaster with paper,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmaster-with-paper,[],,,,Prior to 1994,,[],Grey,,['Headmaster of Hogwarts School of Witchcraft and Wizardry'],,British or Irish,[],Light,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified sleeping Headmaster with starmap,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmaster-with-starmap,[],,,,1990s or earlier,,[],,,['Headmaster of Hogwarts School'],,British,[],Light,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified sleeping Headmistress with rings,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmistress-with-rings,[],,,,Prior to 1992,,[],,,['Headmistress of Hogwarts School of Witchcraft and Wizardry'],,British or Irish,[],Light,"['Professor', 'Headmistress']",[],,,,,,,,,,
Unidentified sleeping Headmistress with sphere,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmistress-with-sphere,[],,,,Before 1943,,[],Black,,['Headmistress of Hogwarts School of Witchcraft and Wizardry'],,British or Irish,[],Light,"['Professor', 'Headmistress']",[],,,,,,,,,,
Unidentified sleeping Headmistress with wand,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-sleeping-headmistress-with-wand,[],,,,Before 1990s,,[],,,['Headmistress of Hogwarts School of Witchcraft and Wizardry'],,British or Irish,[],Light,"['Professor', 'Headmaster']",[],,,,,,,,,,
Unidentified Slug Club Christmas party attendee,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-slug-club-christmas-party-attendee,[],,,,,,[],White,,[],,,[],Pale,[],[],,,,,,,,,,
Unidentified Slug Club witch,Female,,,,,Human,,,,,,,,,,,,,,,unidentified-slug-club-witch,[],,,Before 1970,,Brown,[],Brown,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified Slug Club wizard,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-slug-club-wizard,[],,,Before 1970,,,[],White,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified Slytherin Beater,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-beater-i,[],,,between 1 September 1974 and 31 August 1980,,,[],Black,,[],,British or Irish,[],Light,['Beater'],[],,,,,,,,,,
Unidentified Slytherin Beater (II),Male,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-beater-ii,[],,,1970s,,,[],Black,,[],,British or Irish,[],Light,['Beater'],[],,,,,,,,,,
Unidentified Slytherin boy in the Battle of Hogwarts,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-boy-in-the-battle-of-hogwarts,[],,,31 August 1986 or earlier,,Brown,[],Black,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Slytherin boy (IV),Male,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-boy-iv,[],,,Between 1 September 1872 and 31 August 1879,,,[],Dark,,[],,British or Irish,[],,[],[],,,,,,,,,,
Unidentified Slytherin boy (V),Male,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-boy-v,[],,,Between 1 September 1872 and 31 August 1879,,,[],Brown,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified Slytherin bully,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-bully,[],,,Between 1 September 1874 and 31 August 1875,,Brown,[],Brown,,[],,British or Irish,[],Light,[],"['Unknown length, wood, and core']",,,,,,,,,,
Unidentified Slytherin girl,Female,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-girl-ii,[],,,Between 1 September  1979 and 31 August 1980,,,[],Brown,,[],,British or Irish,[],Pale,[],[],,,,,,,,,,
Unidentified Slytherin girl,Female,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-girl-iii,[],,,Between 1 September 1979 and 31 August 1980,,,[],Brown,,[],,British or Irish,[],White,[],[],,,,,,,,,,
Unidentified Slytherin girl (V),Female,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-girl-v,[],,,Between 1 September 1872 and 31 August 1879,,,[],,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified Slytherin girl (VI),Female,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-girl-vi,[],,,Between 1 September 1872 and 31 August 1879,,,[],Black,,[],,British or Irish,[],Dark,[],[],,,,,,,,,,
Unidentified Slytherin Keeper,Male,,Slytherin,,,Human,,,,,,,,,,,,,,,unidentified-slytherin-keeper,[],,,31 August 1985 or earlier,,,[],Black,,[],,British or Irish,[],Light,['Keeper'],[],,,,,,,,,,
Unidentified Slytherin student,Female,,Slytherin,,,Human,Pure-blood or half-blood,,,,,,,,,,,,,,unidentified-blonde-slytherin-girl,[],,,Between 1 September 1979 and 31 August 1980,,,[],Blonde,,[],,British or Irish,[],Light,[],[],,,,,,,,,,
Unidentified small dog,Male,,,,,Dog (Pug),,,,,,,,,,,,,,,unidentified-small-dog,[],,,Before December 1926,,Brown,[],White and black,,[],,,[],,[],[],,,,,,,,,,
Unidentified smuggler,Male,,,,,Human,,,,,,,,,,,,,,,unidentified-smuggler,[],,,,,,[],,,['Smuggler'],,,[],,[],[],,,,,,,,,,
